dengue_year,dengue_week,week_date_range,weekly_travel_cases,cumulative_travel_cases,weekly_local_cases,cumulative_local_cases,dengue_week_start,dengue_week_end,climate_year,climate_week,Week_Start,Week_End,Temp @ 60cm (C) Avg (Weekly Avg),Temp @ 2m (C) Avg (Weekly Avg),Temp @ 10m (C) Avg (Weekly Avg),Relative Humidity (%) Avg (Weekly Avg),Rainfall Amount (in) Sum (Weekly Avg)
2022,34,"August 21-27, 2022",34.0,264.0,3.0,8.0,2022-08-21,2022-08-27,2022,34,2022-08-21,2022-08-27,27.055,26.8933,26.6957,85.4384,0.3461
2022,35,"August 28-September 3, 2022",63.0,327.0,6.0,14.0,2022-08-28,2022-09-03,2022,35,2022-08-28,2022-09-03,26.7526,26.5779,26.4087,86.1406,0.3239
2022,36,"September 4-10, 2022",58.0,385.0,0.0,14.0,2022-09-04,2022-09-10,2022,36,2022-09-04,2022-09-10,26.6095,26.4924,26.3714,85.6809,0.2629
2022,37,"September 11-17, 2022",52.0,437.0,5.0,19.0,2022-09-11,2022-09-17,2022,37,2022-09-11,2022-09-17,25.4738,25.3547,25.2068,86.0986,0.3769
2022,38,"September 18-24, 2022",41.0,478.0,3.0,22.0,2022-09-18,2022-09-24,2022,38,2022-09-18,2022-09-24,25.9494,25.8815,25.784,79.7585,0.106
2022,39,"September 25-October 1, 2022",10.0,488.0,1.0,23.0,2022-09-25,2022-10-01,2022,39,2022-09-25,2022-10-01,23.227,23.1936,23.1241,77.6534,0.7434
2022,40,"October 2-8, 2022",38.0,526.0,4.0,27.0,2022-10-02,2022-10-08,2022,40,2022-10-02,2022-10-08,21.5903,21.7143,21.7908,72.7955,0.0029
2022,41,"October 9-15, 2022",60.0,586.0,3.0,30.0,2022-10-09,2022-10-15,2022,41,2022-10-09,2022-10-15,23.8421,23.864,23.7676,80.7134,0.0929
2022,42,"October 16-22, 2022",17.0,603.0,5.0,35.0,2022-10-16,2022-10-22,2022,42,2022-10-16,2022-10-22,18.7567,18.8108,18.8463,71.7904,0.029
2022,43,"October 23-29, 2022",50.0,653.0,1.0,36.0,2022-10-23,2022-10-29,2022,43,2022-10-23,2022-10-29,21.6848,21.7492,21.7932,80.3893,0.0349
2022,44,"October 30-November 5, 2022",25.0,678.0,2.0,38.0,2022-10-30,2022-11-05,2022,44,2022-10-30,2022-11-05,23.3782,23.3936,23.316,81.9964,0.0429
2022,45,"November 6-12, 2022",15.0,693.0,3.0,41.0,2022-11-06,2022-11-12,2022,45,2022-11-06,2022-11-12,22.3648,22.438,22.3735,83.4291,0.3917
2022,46,"November 13-19, 2022",23.0,716.0,7.0,48.0,2022-11-13,2022-11-19,2022,46,2022-11-13,2022-11-19,17.1367,17.1215,17.0291,78.3197,0.015
2022,47,"November 20-26, 2022",5.0,721.0,0.0,48.0,2022-11-20,2022-11-26,2022,47,2022-11-20,2022-11-26,19.4909,19.4581,19.3534,87.0431,0.1029
2022,48,"November 27-December 3, 2022",25.0,746.0,1.0,49.0,2022-11-27,2022-12-03,2022,48,2022-11-27,2022-12-03,19.6032,19.7521,19.9126,81.2579,0.0553
